vote,n_vote,vote_count_ok,vote_count_nok,vote_count_mitige,optype,title,body,tsneX,tsneY,ptcol,ptcex
0.75,8,6,1,1,"Justice, Police, Armée",condamnation didier andreieux,<p>condamner les policiers qui violentent  ou mutilent gratuitement des gens .</p>,-6.99359003016693,-42.0678546955741,#A6D96A99,0.50893355667225
1,4,4,0,0,"Justice, Police, Armée",casier vierge pour tous les élus,"<p>casier vierge pour tous les élus ,membres du gouvernement ,sinon  révoqué et peine planchée de 5 ans de prison ferme</p>",-29.6438158184517,33.6839294949802,#1A985099,0.504466778336125
0.126717557251908,655,83,534,38,"Justice, Police, Armée",Port d'arme,"<p>Abolie en 1939 en France le port d'arme est inscrit comme un droit constitutionnel aux Etats-Unis dans le 2nd amendement. Dans la mesure où le nombres de petits délits, d'agression, de voles à l'étalage, à l'arracher son en croissance dans les grandes villes. La question de l'auto défense se pose. Bien entendu une arme à feu n'est pas un jouer, la possession d'une arme à feu se doit d'être autorisé après un protocole strict : Etre de nationalité Française, avoir un casier judiciaire vierge, enquête psychologique sur le demandeur du port d'arme, visite chez le psychologue, apprentissage du droits (pénal et civique), stage équivalent à une formation de tireur chez la Police, stage de premier secours. Je fais cette proposition de réforme de loi dans le mesure où la police semble de plus en plus défaillante quant à la protection des citoyens et des biens privées de ces derniers.</p><p>(Sachant que les banlieues sont déja bien dotés en armement).</p>",21.3861277750324,-2.80786383528787,#D7302799,1.23143495254048
1,3,3,0,0,"Justice, Police, Armée",Responsabilités aggravées pour les politique en cas de délits financiers ou fiscaux,"<p>Dans le cas de délits financiers ou fiscaux, considérer comme circonstance fortement aggravante pour les personnes coupables, les statuts électifs ou ministériels ainsi que les responsabilités politiques ou administratives.</p><p><br /></p>",-22.0483140508968,-42.7576100579346,#1A985099,0.503350083752094
0.833333333333333,6,5,1,0,"Justice, Police, Armée","Plus de moyens pour la justice, la police, la gendarmerie et l'armée","<p>Accorder des moyens conséquents à la justice, la police, la gendarmerie et l'armée. Enfin payer les heures supplémentaires des forces de l'ordre ou les faire récupérer.</p>",34.7688572036186,27.0241285292006,#66BD6399,0.506700167504188
0.292307692307692,65,19,40,6,"Justice, Police, Armée",Dissolution des compagnies des forces de l ordre ayant participer aux manifestations des gilets jaune,"<p>dissolution de toutes les compagnies des forces de l'ordre qui ont participé à la manifestation des gilets jaunes (csr,bac, etc.) ainsi que le limogeage de leurs autorités, avec interdiction d'avoir des armes, de travailler dans des services de sécurité. Interdiction pour tous de travailler dans un service public. Ensuite, création de ces mêmes services d'ordre (et oui, il en faut) mais avec du personnel beaucoup plus vertueux.  </p>",34.4913570753789,18.9749152319993,#F46D4399,0.572585147962032
0.833333333333333,6,5,1,0,"Justice, Police, Armée",Remplacer le parquet financier par des juges financiers,<p>Remplacer le parquet financier qui dépend du garde des sceaux par des juges financiers indépendants de sorte que les  dérives politiques soient théoriquement écartées.</p>,-47.4816677050587,9.16455134536952,#66BD6399,0.506700167504188
0.96551724137931,29,28,0,1,"Justice, Police, Armée",casier judiciaire vierge pour les élus,<p>lutter contre les abus </p>,-31.1659806293523,34.7952901149422,#1A985099,0.532384142936907
0.833333333333333,6,5,0,1,"Justice, Police, Armée",JUSTICE LA MÊME POUR TOUS,<p>Si il y a une justice pour les pauvres ce doit être la même pour les riches   ce n'est que justice  NON  ???</p>,-33.0035044268141,16.0289282134185,#66BD6399,0.506700167504188
0.625,8,5,3,0,"Justice, Police, Armée",Condamnation a perpétuité,"<p>Quand une personne est condamnée a perpétuité pour un acte odieux (viol, meurtre,...), la peine de prison doit être a vie et non a 22 ans de sûreté et écourté si bonne conduite. </p>",9.11526091830553,-48.7595935074697,#D9EF8B99,0.50893355667225
